Affix,Variant,Definition,Chinese_Character
a-,0,Not or without.,无
a-,1,"Towards, of, in, into or at; marking some ongoing process or state; movement onwards or away.",向
-a,0,Forming singular words of various types.,单
-a,1,The plural of certain nouns of Latin or Greek origin.,复
-a,2,Informal terms in spoken English.,口语
ab-,0,"Off, away, or from.",远
abdomino-,0,The abdomen.,未知
-able,0,Able to be.,能
-ac,0,Forming adjectives and nouns.,未知
acantho-,0,Spiny or thorny.,未知
acaro-,0,A mite or tick.,未知
-acea,0,Groups of animals.,未知
-aceae,0,Families of seed-bearing plants.,未知
-aceous,0,Forming adjectives.,未知
aceto-,0,Acetic acid or the acetyl group.,未知
acido-,0,Acid; sharp or sour.,未知
-acious,0,"Inclined to, given to, or having as a capacity.",未知
acousto-,0,Sound or hearing.,未知
acro-,0,"A tip, height, or extremity.",未知
acrylo-,0,Acrylic.,未知
actino-,0,A ray or beam.,未知
-acusis,0,A condition of the hearing.,未知
ad-,0,"Motion or direction to; reduction or change into; addition, increase, or intensification.",向
-ad,0,Collective numerals; nymphs.,未知
-ad,1,Indicating a direction towards some part of the body.,未知
-ade,0,"Denoting an action, its result, or something associated with it.",未知
adeno-,0,A gland.,未知
adipo-,0,Fat or fatty tissues.,未知
-ado,0,"Forming a variety of words based on Portuguese, Spanish, or Italian originals.",未知
adreno-,0,The adrenal glands.,未知
-ae,0,Forming plurals.,未知
-aemia,0,"A substance present in the blood, especially in excess.",未知
aero-,0,Air or another gas; the atmosphere; aircraft.,未知
afore-,0,Before or previously.,未知
Afro-,0,Africa; African and �,未知
-age,0,Forming nouns.,未知
-agogue,0,Leading or promoting.,未知
-agra,0,Pain in some part of the body.,未知
agro-,0,Farming; cultivation.,未知
-aholic,0,A person excessively fond of something.,未知
-aire,0,A person characterized by or linked to the idea in the stem.,未知
-al,0,Forming adjectives and some nouns.,未知
-al,1,An aldehyde.,未知
alb-,0,White or bright.,未知
aldo-,0,An aldehyde.,未知
-ales,0,Orders of plants.,未知
-algia,0,"Pain, usually in a specified part of the body.",未知
algo-,0,Pain.,未知
-alia,0,A collection or group.,未知
allo-,0,Other; different.,未知
alumino-,0,Aluminium.,未知
ambi-,0,On both sides; around.,两
amido-,0,The CONH2- group in chemical compounds.,未知
amino-,0,"The amine group, NH2�.",未知
amnio-,0,The amnion.,未知
amphi-,0,"Variously two, both, on both sides, or around.",未知
amylo-,0,Starch.,未知
ana-,0,"Variously up, back, or again.",未知
-ana,0,"Things associated with a person, place, or field of interest.",未知
-ance,0,A state or quality; a process or action.,未知
-and,0,A person or thing to be treated in a specified way.,未知
andro-,0,Male or maleness.,未知
-androus,0,Maleness.,未知
-ane,0,Saturated straight-chain (aliphatic) hydrocarbons.,未知
-ane,1,Forming adjectives.,未知
anemo-,0,The wind.,未知
angio-,0,Blood or seed vessels.,未知
-angium,0,A container.,未知
Anglo-,0,English or British; English or British and �,未知
aniso-,0,"Unequal, asymmetrical, dissimilar.",未知
ankylo-,0,Bent or crooked; stiff or fixed.,未知
-ant,0,Forming adjectives and nouns.,未知
ante-,0,Before or preceding.,未知
antero-,0,Nearer the front of the body; forward in time.,未知
antho-,0,A flower or flowers.,未知
anthraco-,0,Coal or carbon; a carbuncle.,未知
anthropo-,0,"Human, or of a human being.",未知
-anthropy,0,"Human, or humankind.",未知
anti-,0,"Acting against, resisting, or opposing something; the opposite or reverse of something.",反
apico-,0,A point or apex.,未知
apo-,0,Away from; separate from.,未知
apres-,0,A period following some activity.,未知
aqua-,0,Water.,未知
-ar,0,Forming adjectives.,未知
-ar,1,Forming nouns.,未知
arachno-,0,A spider or spiders.,未知
arbori-,0,A tree or trees.,未知
arch-,0,Chief; principal; pre-eminent of its kind.,未知
archaeo-,0,Ancient or prehistoric times.,未知
-archy,0,Government; rule of a particular type; a chief or ruler.,未知
-ard,0,Forming nouns.,未知
areo-,0,The planet Mars.,未知
argento-,0,Silver.,未知
-arian,0,Forming adjectives and corresponding nouns.,未知
-arious,0,Connected with; pertaining to.,未知
-arium,0,"A place or container connected with, or employed for, some purpose.",未知
arseno-,0,Arsenic.,未知
arterio-,0,An artery.,未知
arthro-,0,A joint.,未知
-ary,0,Forming nouns.,的
-ary,1,Forming adjectives.,地点
asco-,0,A bag or sac.,未知
-ase,0,An enzyme.,未知
-asis,0,A disease or other medical condition.,未知
-ast,0,A person connected with a pursuit or activity.,未知
-aster,0,Inferior; a poor imitation.,未知
astro-,0,A star or other celestial body; outer space; star-shaped.,未知
-ate,0,Forming nouns.,未知
-ate,1,Forming adjectives.,未知
-ate,2,Forming verbs.,未知
athero-,0,An atheroma.,未知
-athon,0,"An event long in duration, usually for fund-raising purposes.",未知
-ati,0,Groups of people.,未知
-atic,0,"Forming adjectives, and some nouns.",未知
-atile,0,"Possibility, potential, or ability.",未知
-ation,0,"An action, or an instance of an action.",未知
-ative,0,Characteristic or predisposed.,未知
atto-,0,"In units of measurement, a factor of 10-18.",未知
audio-,0,Hearing or sound.,未知
auri-,0,Gold.,未知
Austro-,0,Austria; Austria and �,未知
Austro-,1,Australia; Australia and �; southern.,未知
auto-,0,Self; oneself; by itself.,自
auto-,1,An automobile or motor vehicle.,未知
auxo-,0,Growth or increase.,未知
avi-,0,A bird or birds; flight.,未知
axo-,0,An axis.,未知
azo-,0,Nitrogen; the chemical radical -N=N-.,未知
bacill-,0,A bacillus.,未知
-bacter,0,A genus of bacteria.,未知
bacterio-,0,Bacteria.,未知
baro-,0,Pressure.,未知
basi-,0,A base or basis.,未知
basidio-,0,A basidium.,未知
bathy-,0,Depth.,未知
be-,0,Forming verbs and adjectives.,未知
bene-,0,Good; well.,未知
benzo-,0,Benzene.,未知
bi-,0,Two; having two; doubly.,未知
biblio-,0,A book or books.,未知
bili-,0,Bile.,未知
bio-,0,Life; living things.,未知
-biosis,0,A mode of life.,未知
-blast,0,An immature or embryonic cell.,未知
blasto-,0,Germination.,未知
blepharo-,0,The eyelid.,未知
boro-,0,Boron.,未知
-bot,0,Automatic or autonomous device or software program.,未知
botryo-,0,A bunch of grapes.,未知
brachio-,0,An arm.,未知
brachy-,0,Shortness.,未知
brady-,0,Slowness.,未知
branchio-,0,Gills.,未知
Brit-,0,British.,未知
bromo-,0,Bromine.,未知
broncho-,0,The bronchi.,未知
bryo-,0,Moss.,未知
bucco-,0,The cheek.,未知
but-,0,Four-carbon chains of atoms.,未知
by-,0,Subordinate; incidental; secondary.,未知
caco-,0,"Unpleasant, bad, or incorrect.",未知
-cade,0,A procession or show.,未知
calci-,0,Lime or calcium.,未知
calli-,0,Beautiful.,未知
carbo-,0,Carbon.,未知
carboxy-,0,The carboxyl group.,未知
carcino-,0,Cancer.,未知
cardio-,0,The heart.,未知
-cardium,0,Tissue related to the heart.,未知
-carp,0,A fruit or fruiting body.,未知
cata-,0,"Movement downwards; figuratively, wrong or inferior.",未知
-cele,0,"A tumour, swelling, or hernia.",未知
-cene,0,A division of geological time.,未知
-centesis,0,A puncture or perforation of a body cavity.,未知
centi-,0,One hundredth; a multiple of a hundred.,未知
centri-,0,A centre.,未知
-centric,0,Having a specified centre.,未知
-cephalic,0,The head.,未知
cephalo-,0,The head.,未知
cerebro-,0,The brain.,未知
cervico-,0,The cervix; the neck.,未知
ceto-,0,A whale.,未知
-chaete,0,A bristle or seta.,未知
chaeto-,0,Hair.,未知
chalco-,0,Copper.,未知
cheilo-,0,A lip.,未知
cheli-,0,A claw.,未知
chemo-,0,Chemistry; chemical compounds; chemical reactions.,未知
chili-,0,A thousand.,未知
chiro-,0,A hand.,未知
chloro-,0,The colour green.,未知
choano-,0,A funnel.,未知
chole-,0,Bile or gall.,未知
chondro-,0,A cartilage; a grain.,未知
chorio-,0,The chorion or choroid.,未知
Christo-,0,Christ.,未知
-chroic,0,Having colour of a given type.,未知
-chrome,0,Colour.,未知
chromo-,0,Colour; chromium.,未知
-chronic,0,Time.,未知
chrono-,0,Time.,未知
chryso-,0,Gold; gold-coloured.,未知
-cide,0,A person or substance that kills; an act of killing.,未知
cine-,0,The cinema; film.,未知
circum-,0,Around or about.,未知
cirro-,0,"A tuft, curl, or tendril.",未知
cis-,0,On this side of; on the side nearer the speaker.,未知
clado-,0,A branch or branching.,未知
-clase,0,Minerals showing characteristic cleavage.,未知
-clinic,0,"Oblique, reclining, at an angle.",未知
clino-,0,Inclined; monoclinic.,未知
cocci-,0,A small spherical body.,未知
-coccus,0,A spherical bacterium.,未知
-coel,0,A body cavity.,未知
coelo-,0,A cavity.,未知
colo-,0,The colon.,未知
-colous,0,Living in or preferring a given environment.,未知
colpo-,0,The vagina.,未知
com-,0,Joint; mutual.,未知
contra-,0,"Against, contrary.",未知
copro-,0,Dung or faeces.,未知
-core,0,A musical genre.,未知
cosmo-,0,The world; the universe.,未知
costo-,0,A rib or ribs.,未知
counter-,0,"Opposition, retaliation, or rivalry.",未知
-cracy,0,"Government, rule, or influence.",未知
cranio-,0,The cranium.,未知
cross-,0,Movement or position across something; transverse; interaction; cross-shaped; marked with a cross.,未知
cryo-,0,Involving or producing cold.,未知
crypto-,0,Concealed or secret.,未知
crystallo-,0,A crystal or crystals.,未知
cteno-,0,A comb.,未知
-cule,0,Forming nouns.,未知
-culture,0,Cultivation or husbandry.,未知
cupro-,0,Copper.,未知
-cy,0,"An abstract state, condition, or quality; a rank or status.",未知
cyano-,0,"The colour blue, especially dark blue; cyanide or a derivative.",未知
cyber-,0,Computer-mediated electronic communications.,未知
cyclo-,0,"A circle, circular movement, or regular repetition.",未知
cyno-,0,A dog.,未知
cysto-,0,The urinary bladder.,未知
-cyte,0,A cell.,未知
cyto-,0,A cell.,未知
dacryo-,0,Tears.,未知
dactylo-,0,Fingers or toes.,未知
-dactyly,0,Having fingers or toes of a given type.,未知
de-,0,Forming verbs and their derivatives.,未知
deca-,0,Ten.,未知
decem-,0,Ten.,未知
deci-,0,One tenth.,未知
-decker,0,Having a specified number of decks or layers.,未知
dehydro-,0,Loss of hydrogen.,未知
-delic,0,Of attitudes or activities relating to a given type of experience.,未知
demi-,0,Half; partially.,未知
demo-,0,The people.,未知
demono-,0,Demons.,未知
dendro-,0,A tree or trees.,未知
-dendron,0,A shrub or tree.,未知
denti-,0,A tooth; tooth-like.,未知
deoxy-,0,Loss of oxygen.,未知
-derm,0,Skin; covering.,未知
-derma,0,A disorder of the skin.,未知
dermato-,0,The skin.,未知
