Affix,Variant,Definition
"a-",0,Not or without.
"a-",1,"Towards, of, in, into or at; marking some ongoing process or state; movement onwards or away."
"-a",0,Forming singular words of various types.
"-a",1,The plural of certain nouns of Latin or Greek origin.
"-a",2,Informal terms in spoken English.
"ab-",0,"Off, away, or from."
"abdomino-",0,The abdomen.
"-able",0,Able to be.
"-ac",0,Forming adjectives and nouns.
"acantho-",0,Spiny or thorny.
"acaro-",0,A mite or tick.
"-acea",0,Groups of animals.
"-aceae",0,Families of seed-bearing plants.
"-aceous",0,Forming adjectives.
"aceto-",0,Acetic acid or the acetyl group.
"acido-",0,Acid; sharp or sour.
"-acious",0,"Inclined to, given to, or having as a capacity."
"acousto-",0,Sound or hearing.
"acro-",0,"A tip, height, or extremity."
"acrylo-",0,Acrylic.
"actino-",0,A ray or beam.
"-acusis",0,A condition of the hearing.
"ad-",0,"Motion or direction to; reduction or change into; addition, increase, or intensification."
"-ad",0,Collective numerals; nymphs.
"-ad",1,Indicating a direction towards some part of the body.
"-ade",0,"Denoting an action, its result, or something associated with it."
"adeno-",0,A gland.
"adipo-",0,Fat or fatty tissues.
"-ado",0,"Forming a variety of words based on Portuguese, Spanish, or Italian originals."
"adreno-",0,The adrenal glands.
"-ae",0,Forming plurals.
"-aemia",0,"A substance present in the blood, especially in excess."
"aero-",0,Air or another gas; the atmosphere; aircraft.
"afore-",0,Before or previously.
"Afro-",0,Africa; African and �
"-age",0,Forming nouns.
"-agogue",0,Leading or promoting.
"-agra",0,Pain in some part of the body.
"agro-",0,Farming; cultivation.
"-aholic",0,A person excessively fond of something.
"-aire",0,A person characterized by or linked to the idea in the stem.
"-al",0,Forming adjectives and some nouns.
"-al",1,An aldehyde.
"alb-",0,White or bright.
"aldo-",0,An aldehyde.
"-ales",0,Orders of plants.
"-algia",0,"Pain, usually in a specified part of the body."
"algo-",0,Pain.
"-alia",0,A collection or group.
"allo-",0,Other; different.
"alumino-",0,Aluminium.
"ambi-",0,On both sides; around.
"amido-",0,The CONH2- group in chemical compounds.
"amino-",0,"The amine group, NH2�."
"amnio-",0,The amnion.
"amphi-",0,"Variously two, both, on both sides, or around."
"amylo-",0,Starch.
"ana-",0,"Variously up, back, or again."
"-ana",0,"Things associated with a person, place, or field of interest."
"-ance",0,A state or quality; a process or action.
"-and",0,A person or thing to be treated in a specified way.
"andro-",0,Male or maleness.
"-androus",0,Maleness.
"-ane",0,Saturated straight-chain (aliphatic) hydrocarbons.
"-ane",1,Forming adjectives.
"anemo-",0,The wind.
"angio-",0,Blood or seed vessels.
"-angium",0,A container.
"Anglo-",0,English or British; English or British and �
"aniso-",0,"Unequal, asymmetrical, dissimilar."
"ankylo-",0,Bent or crooked; stiff or fixed.
"-ant",0,Forming adjectives and nouns.
"ante-",0,Before or preceding.
"antero-",0,Nearer the front of the body; forward in time.
"antho-",0,A flower or flowers.
"anthraco-",0,Coal or carbon; a carbuncle.
"anthropo-",0,"Human, or of a human being."
"-anthropy",0,"Human, or humankind."
"anti-",0,"Acting against, resisting, or opposing something; the opposite or reverse of something."
"apico-",0,A point or apex.
"apo-",0,Away from; separate from.
"apres-",0,A period following some activity.
"aqua-",0,Water.
"-ar",0,Forming adjectives.
"-ar",1,Forming nouns.
"arachno-",0,A spider or spiders.
"arbori-",0,A tree or trees.
"arch-",0,Chief; principal; pre-eminent of its kind.
"archaeo-",0,Ancient or prehistoric times.
"-archy",0,Government; rule of a particular type; a chief or ruler.
"-ard",0,Forming nouns.
"areo-",0,The planet Mars.
"argento-",0,Silver.
"-arian",0,Forming adjectives and corresponding nouns.
"-arious",0,Connected with; pertaining to.
"-arium",0,"A place or container connected with, or employed for, some purpose."
"arseno-",0,Arsenic.
"arterio-",0,An artery.
"arthro-",0,A joint.
"-ary",0,Forming nouns.
"-ary",1,Forming adjectives.
"asco-",0,A bag or sac.
"-ase",0,An enzyme.
"-asis",0,A disease or other medical condition.
"-ast",0,A person connected with a pursuit or activity.
"-aster",0,Inferior; a poor imitation.
"astro-",0,A star or other celestial body; outer space; star-shaped.
"-ate",0,Forming nouns.
"-ate",1,Forming adjectives.
"-ate",2,Forming verbs.
"athero-",0,An atheroma.
"-athon",0,"An event long in duration, usually for fund-raising purposes."
"-ati",0,Groups of people.
"-atic",0,"Forming adjectives, and some nouns."
"-atile",0,"Possibility, potential, or ability."
"-ation",0,"An action, or an instance of an action."
"-ative",0,Characteristic or predisposed.
"atto-",0,"In units of measurement, a factor of 10-18."
"audio-",0,Hearing or sound.
"auri-",0,Gold.
"Austro-",0,Austria; Austria and �
"Austro-",1,Australia; Australia and �; southern.
"auto-",0,Self; oneself; by itself.
"auto-",1,An automobile or motor vehicle.
"auxo-",0,Growth or increase.
"avi-",0,A bird or birds; flight.
"axo-",0,An axis.
"azo-",0,Nitrogen; the chemical radical -N=N-.
"bacill-",0,A bacillus.
"-bacter",0,A genus of bacteria.
"bacterio-",0,Bacteria.
"baro-",0,Pressure.
"basi-",0,A base or basis.
"basidio-",0,A basidium.
"bathy-",0,Depth.
"be-",0,Forming verbs and adjectives.
"bene-",0,Good; well.
"benzo-",0,Benzene.
"bi-",0,Two; having two; doubly.
"biblio-",0,A book or books.
"bili-",0,Bile.
"bio-",0,Life; living things.
"-biosis",0,A mode of life.
"-blast",0,An immature or embryonic cell.
"blasto-",0,Germination.
"blepharo-",0,The eyelid.
"boro-",0,Boron.
"-bot",0,Automatic or autonomous device or software program.
"botryo-",0,A bunch of grapes.
"brachio-",0,An arm.
"brachy-",0,Shortness.
"brady-",0,Slowness.
"branchio-",0,Gills.
"Brit-",0,British.
"bromo-",0,Bromine.
"broncho-",0,The bronchi.
"bryo-",0,Moss.
"bucco-",0,The cheek.
"but-",0,Four-carbon chains of atoms.
"by-",0,Subordinate; incidental; secondary.
"caco-",0,"Unpleasant, bad, or incorrect."
"-cade",0,A procession or show.
"calci-",0,Lime or calcium.
"calli-",0,Beautiful.
"carbo-",0,Carbon.
"carboxy-",0,The carboxyl group.
"carcino-",0,Cancer.
"cardio-",0,The heart.
"-cardium",0,Tissue related to the heart.
"-carp",0,A fruit or fruiting body.
"cata-",0,"Movement downwards; figuratively, wrong or inferior."
"-cele",0,"A tumour, swelling, or hernia."
"-cene",0,A division of geological time.
"-centesis",0,A puncture or perforation of a body cavity.
"centi-",0,One hundredth; a multiple of a hundred.
"centri-",0,A centre.
"-centric",0,Having a specified centre.
"-cephalic",0,The head.
"cephalo-",0,The head.
"cerebro-",0,The brain.
"cervico-",0,The cervix; the neck.
"ceto-",0,A whale.
"-chaete",0,A bristle or seta.
"chaeto-",0,Hair.
"chalco-",0,Copper.
"cheilo-",0,A lip.
"cheli-",0,A claw.
"chemo-",0,Chemistry; chemical compounds; chemical reactions.
"chili-",0,A thousand.
"chiro-",0,A hand.
"chloro-",0,The colour green.
"choano-",0,A funnel.
"chole-",0,Bile or gall.
"chondro-",0,A cartilage; a grain.
"chorio-",0,The chorion or choroid.
"Christo-",0,Christ.
"-chroic",0,Having colour of a given type.
"-chrome",0,Colour.
"chromo-",0,Colour; chromium.
"-chronic",0,Time.
"chrono-",0,Time.
"chryso-",0,Gold; gold-coloured.
"-cide",0,A person or substance that kills; an act of killing.
"cine-",0,The cinema; film.
"circum-",0,Around or about.
"cirro-",0,"A tuft, curl, or tendril."
"cis-",0,On this side of; on the side nearer the speaker.
"clado-",0,A branch or branching.
"-clase",0,Minerals showing characteristic cleavage.
"-clinic",0,"Oblique, reclining, at an angle."
"clino-",0,Inclined; monoclinic.
"cocci-",0,A small spherical body.
"-coccus",0,A spherical bacterium.
"-coel",0,A body cavity.
"coelo-",0,A cavity.
"colo-",0,The colon.
"-colous",0,Living in or preferring a given environment.
"colpo-",0,The vagina.
"com-",0,Joint; mutual.
"contra-",0,"Against, contrary."
"copro-",0,Dung or faeces.
"-core",0,A musical genre.
"cosmo-",0,The world; the universe.
"costo-",0,A rib or ribs.
"counter-",0,"Opposition, retaliation, or rivalry."
"-cracy",0,"Government, rule, or influence."
"cranio-",0,The cranium.
"cross-",0,Movement or position across something; transverse; interaction; cross-shaped; marked with a cross.
"cryo-",0,Involving or producing cold.
"crypto-",0,Concealed or secret.
"crystallo-",0,A crystal or crystals.
"cteno-",0,A comb.
"-cule",0,Forming nouns.
"-culture",0,Cultivation or husbandry.
"cupro-",0,Copper.
"-cy",0,"An abstract state, condition, or quality; a rank or status."
"cyano-",0,"The colour blue, especially dark blue; cyanide or a derivative."
"cyber-",0,Computer-mediated electronic communications.
"cyclo-",0,"A circle, circular movement, or regular repetition."
"cyno-",0,A dog.
"cysto-",0,The urinary bladder.
"-cyte",0,A cell.
"cyto-",0,A cell.
"dacryo-",0,Tears.
"dactylo-",0,Fingers or toes.
"-dactyly",0,Having fingers or toes of a given type.
"de-",0,Forming verbs and their derivatives.
"deca-",0,Ten.
"decem-",0,Ten.
"deci-",0,One tenth.
"-decker",0,Having a specified number of decks or layers.
"dehydro-",0,Loss of hydrogen.
"-delic",0,Of attitudes or activities relating to a given type of experience.
"demi-",0,Half; partially.
"demo-",0,The people.
"demono-",0,Demons.
"dendro-",0,A tree or trees.
"-dendron",0,A shrub or tree.
"denti-",0,A tooth; tooth-like.
"deoxy-",0,Loss of oxygen.
"-derm",0,Skin; covering.
"-derma",0,A disorder of the skin.
"dermato-",0,The skin.
"desmo-",0,A bond or chain.
"deutero-",0,Second; secondary.
"dextro-",0,On or to the right.
"di-",0,"Twice, two, double."
"dia-",0,"Through, across."
"dicho-",0,In two parts; paired.
"dictyo-",0,A net.
"digiti-",0,A finger; finger-like.
"dino-",0,"Terrible, frightful; dinosaur."
"diplo-",0,Double.
"dis-",0,Expressing a variety of negative senses.
"disco-",0,A disc; disc-shaped.
"docu-",0,A documentary programme.
"dodeca-",0,Twelve.
"dolicho-",0,Long.
"-dom",0,Forming abstract or collective nouns.
"dorsi-",0,The back.
"-dox",0,An opinion or view.
"-drome",0,Running or racing; proceeding in a given way.
"dromo-",0,Movement; speed.
"duo-",0,Two; having two.
"duodeci-",0,Twelve; twelfth.
"duodeno-",0,Duodenum.
"dynamo-",0,Power.
"dys-",0,Bad; difficult.
"e-",0,Electronic communications.
"-ean",0,Forming adjectives and some nouns.
"echino-",0,Spiny.
"eco-",0,Ecology; the natural environment.
"ecto-",0,Outer; external; on the outside.
"-ectomy",0,Surgical removal of all or part of a specified organ.
"-ed",0,Having; possessing; affected by; characteristic of.
"-ed",1,Forming the past tense and past participles of regular (weak) verbs.
"-ee",0,Forming nouns from verbs.
"-een",0,Forming diminutive nouns.
"-eer",0,Forming nouns and verbs.
"eigen-",0,Proper; characteristic.
"eka-",0,Unknown elements.
"elasto-",0,Elastic.
"electro-",0,"Relating to, caused by, or connected with electricity."
"-ella",0,Genera of bacteria and algae.
"-elle",0,Forming nouns.
"-ellum",0,Forming nouns.
"embryo-",0,An embryo.
"-eme",0,Linguistic units that are in systemic contrast with one other.
"en-",0,Forming verbs.
"en-",1,Within; inside.
"-en",0,Forming verbs from nouns and adjectives.
"-en",1,Forming adjectives from nouns.
"-en",2,Forming past participles of strong verbs.
"-en",3,Forming noun plurals.
"-en",4,Forming diminutives of nouns.
"enantio-",0,"Opposite, opposing."
"encephalo-",0,The brain.
"-enchyma",0,Cellular tissue.
"-end",0,Forming nouns.
"endo-",0,Internal; within.
"-ene",0,Hydrocarbons.
"-ene",1,An inhabitant.
"-enne",0,Nouns denoting females.
"ennea-",0,Nine.
"-ennium",0,A period of years.
"entero-",0,The intestine.
"ento-",0,Within; inside.
"entomo-",0,An insect or insects.
"eo-",0,"Early, primeval."
"epi-",0,Upon; above; in addition.
"equi-",0,Equal; equally.
"-er",0,Forming nouns.
"-er",1,Forming the comparative of some adjectives and adverbs.
"-er",2,Colloquial or humorous nouns and adjectives.
"-er",3,Forming verbs.
"-ergic",0,"Involving, releasing, or mimicking a specified substance as a neurotransmitter."
"ergo-",0,Work; energy.
"-eroo",0,An informal and often humorous intensifier of nouns.
"eroto-",0,Sexual desire or excitement.
"-ery",0,Forming nouns.
"erythro-",0,Redness.
"-esce",0,"Forming verbs, often denoting the initiation of an action."
"-ese",0,Forming adjectives and nouns.
"-esis",0,Nouns of action or process.
"-esque",0,In the style of; resembling.
"-ess",0,Forming nouns denoting the female gender.
"-est",0,Forming the superlatives of some adjectives and adverbs.
"-est",1,Forming the second person singular of verbs.
"-et",0,"Forming nouns, originally diminutives."
"eth-",0,A two-carbon chain of atoms.
"-eth",1,Forming the third person singular of the present tense of verbs.
"ethno-",0,"A nation, people, or culture."
"ethoxy-",0,The ethoxyl radical.
"-etic",0,Forming adjectives and some nouns.
"-ette",0,Forming nouns.
"eu-",0,Well; easily.
"Euro-",0,European; Europe or European plus another country; Europe; the European Union.
"eury-",0,A wide variety or range of something.
"ex-",0,Out; upward; thoroughly; removal or release; former.
"ex-",1,Out
"exa-",0,"In units of measurement, a factor of 1018."
"exo-",0,External; from outside.
"extra-",0,Outside; beyond.
"extro-",0,Outwards.
"-facient",0,Producing a specified action or state.
"facio-",0,The face.
"-faction",0,Nouns of action or associated state.
"falc-",0,Sickle-shaped.
"fascio-",0,A bundle.
"-fashion",0,In some specified manner.
"febri-",0,Fever.
"femoro-",0,The thigh or thigh bone.
"femto-",0,"In units of measurement, a factor of 10-15."
"-fer",0,Bearing or carrying.
"-fera",0,Animal orders or phyla.
"-ferous",0,"Having, bearing or containing something."
"ferro-",0,Iron.
"-fest",0,"A festival, gathering, or activity."
"feto-",0,The fetus.
"fibrino-",0,Fibrin.
"fibro-",0,Fibres.
"-fic",0,Forming adjectives of action.
"-fication",0,Nouns of action.
"-fid",0,Divided in a specified way or into a specified number of parts.
"Finno-",0,"Finland, the Finns or the Finnic languages."
"-flation",0,"Economic inflation, especially in a particular field."
"flavo-",0,Yellow or yellow-tinted.
"-flop",0,Measures of computing speed.
"flori-",0,A flower or flowers.
"-florous",0,Having flowers of a certain type.
"fluoro-",0,Fluorine; fluorescence.
"fluvio-",0,River.
"-fold",0,A number of parts or facets; multiplied by such a number; relating to folding or to a folded object.
"for-",0,Forming verbs and adjectives.
"fore-",0,"Before, beforehand, going before, in front of, leading."
"-form",0,Having a specified form or number of forms.
"-formes",0,Orders of animals.
"Franco-",0,France or French.
"franken-",0,Genetically modified.
"-free",0,Free of or from something indicated by the first element.
"fronto-",0,The forehead or front part of something.
"fructi-",0,Fruit; fructose.
"-fuge",0,"An agent that dispels, drives away or eliminates something."
"-ful",0,Full of; having given qualities.
"fungi-",0,Fungus.
"-fy",0,Make or produce; transform into; become.
"galacto-",0,Milk; galactose.
"Gallo-",0,France or French; French and �
"galvano-",0,Electric current.
"gamo-",0,"Marriage or union, fertilization or reproduction."
"-gamy",0,"Marriage, fertilization or reproduction."
"ganglio-",0,Ganglion.
"gastro-",0,The stomach; feeding.
"-gate",0,"A scandal, especially a political one."
"-gen",0,Generation or creation.
"geo-",0,The Earth.
"Germano-",0,German or Germany.
"geronto-",0,Old age or old people.
"-gerous",0,Bearing some specified thing.
"-geusia",0,The sense of taste.
"giga-",0,"In units of measurement, a factor of one thousand million or 109. In computing, often a factor of 230 (1,073,741,824)."
"giganto-",0,Great size or extent.
"gingivo-",0,The gums.
"glacio-",0,Glaciers.
"glio-",0,The glia.
"-globin",0,A globin compound.
"-glossia",0,Speech or language.
"glosso-",0,The tongue; speech or language.
"-glot",0,Language.
"glut-",0,Gluten.
"gluteo-",0,The buttocks.
"glyco-",0,Sugar.
"gnatho-",0,The jaw.
"-gnomy",0,Knowledge.
"-gnosis",0,Knowledge; recognition.
"-gon",0,A plane figure with a specified number of straight sides.
"gonio-",0,Angle.
"-gonium",0,Organs of reproduction.
"gono-",0,Sexual; reproductive.
"-gony",0,"Production, genesis or origination."
"-grade",0,A division; a method of locomotion.
"Graeco-",0,Greece; Greek and �
"-gram",0,Something written or recorded in a particular way.
"grand-",0,The second degree of parentage or descent.
"grano-",0,Granite.
"granulo-",0,A granule.
"grapho-",0,Writing; the production of images.
"-graphy",0,Writing; the production of images; descriptive sciences or studies.
"gravi-",0,Weight; gravity.
"gymno-",0,Bare or naked.
"gynaeco-",0,Female; relating to women.
"-gynous",0,Having female characteristics.
"gyro-",0,Rotation.
"haemo-",0,Blood.
"hagio-",0,Saints or holiness.
"halo-",0,Halogens; salinity or salt.
"haplo-",0,Single or simple.
"hapto-",0,Binding or fastening; touching.
"-head",0,"The head, in various senses, often figurative."
"hecto-",0,One hundred.
"-hedron",0,A geometrical solid with a specified number of plane faces.
"heli-",0,Helicopter.
"helico-",0,Spiral; screw.
"helio-",0,The Sun.
"hemi-",0,Half; a part.
"hendeca-",0,Eleven.
"hepato-",0,The liver.
"hepta-",0,Seven.
"hernio-",0,Hernia.
"hetero-",0,Different or other.
"hexa-",0,Six.
"Hiberno-",0,Irish; Irish and �
"hidro-",0,Sweat.
"hiero-",0,Sacred or holy.
"hind-",0,At the back; posterior.
"hippo-",0,Horse.
"Hispano-",0,Spanish; Spanish and �
"histo-",0,Organic tissue.
"holo-",0,Whole or complete.
"homeo-",0,Similar.
"homo-",0,The same.
"homo-",1,Man; human being.
"-hood",0,A group of people; a condition or quality.
